population,evaluations,1/x,id,MonitorCentral,MonitorPeer,MonitorCloud,AnalyzeCentral,AnalyzePeer,AnalyzeCloud,NormalPlanCentral,NormalPlanPeer,NormalPlanCloud,AlertPlanCentral,AlertPlanPeer,AlertPlanCloud,CriticalPlanCentral,CriticalPlanPeer,CriticalPlanCloud,NormalExecuteCentral,NormalExecutePeer,NormalExecuteCloud,AlertExecuteCentral,AlertExecutePeer,AlertExecuteCloud,CriticalExecuteCentral,CriticalExecutePeer,CriticalExecuteCloud
,,,S5,0.217713285,0.109411418,0.672875297,0.549585973,0.272501971,0.177912056,0.79213634,0.166350048,0.041513612,0.113938669,0.819259363,0.066801969,0.688230632,0.119399285,0.192370084,0.113705879,0.00024957,0.88604455,0.14721226,0.825762904,0.027024836,0.123126453,0.395086813,0.481786734
,,,S6,0.217713285,0.109411418,0.672875297,0.549585973,0.272501971,0.177912056,0.79213634,0.166350048,0.041513612,0.113938669,0.819259363,0.066801969,0.688230632,0.119399285,0.192370084,0.113705879,0.00024957,0.88604455,0.166221986,0.102257351,0.731520664,0.690172579,0.224539639,0.085287782
,,,S7,0.217713285,0.109411418,0.672875297,0.549585973,0.272501971,0.177912056,0.79213634,0.166350048,0.041513612,0.113938669,0.819259363,0.066801969,0.960116806,0.01186258,0.028020614,0.210743663,0.786340429,0.002915908,0.508247352,0.399669737,0.092082911,0.453055203,0.54371501,0.003229787
,,,S8,0.217713285,0.109411418,0.672875297,0.549585973,0.272501971,0.177912056,0.79213634,0.166350048,0.041513612,0.113938669,0.819259363,0.066801969,0.688230632,0.119399285,0.192370084,0.113705879,0.00024957,0.88604455,0.166221986,0.102257351,0.731520664,0.690172579,0.224539639,0.085287782
,,,S9,0.217713285,0.109411418,0.672875297,0.549585973,0.272501971,0.177912056,0.79213634,0.166350048,0.041513612,0.113938669,0.819259363,0.066801969,0.960116806,0.01186258,0.028020614,0.210743663,0.786340429,0.002915908,0.508247352,0.399669737,0.092082911,0.453055203,0.54371501,0.003229787
30,120,1,S1,0.983324956,0.01617759,0.000497454,0.101535306,0.052872515,0.845592179,0.876335243,0.081443186,0.042221571,0.841091089,0.149944805,0.008964106,0.4524266,0.338831778,0.208741621,0.08951285,0.704871242,0.205615908,0.678741993,0.238497239,0.082760769,0.385962878,0.613412434,0.000624688
,,,S2,0.845054393,0.004363013,0.150582594,0.024239859,0.833155392,0.142604749,0.842225631,0.15507016,0.002704208,0.999092304,0.000852784,5.49E-05,0.735315932,0.249580074,0.015103994,0.881595195,0.05209164,0.066313165,0.472091461,0.329090069,0.198818471,0.509517298,0.332014137,0.158468565
,,,S3,0.983324956,0.01617759,0.000497454,0.101535306,0.052872515,0.845592179,0.876335243,0.081443186,0.042221571,0.841091089,0.149944805,0.008964106,0.700299725,0.225374729,0.074325546,0.234470639,0.550434891,0.21509447,0.932504907,0.04370144,0.023793653,0.215232114,0.426171878,0.358596008
,,,S4,0.845054393,0.004363013,0.150582594,0.024239859,0.833155392,0.142604749,0.842225631,0.15507016,0.002704208,0.999092304,0.000852784,5.49E-05,0.735315932,0.249580074,0.015103994,0.881595195,0.05209164,0.066313165,0.472091461,0.329090069,0.198818471,0.509517298,0.332014137,0.158468565
,,,S5,0.722911595,0.261121237,0.015967168,0.02761337,0.748009919,0.224376711,0.071819793,0.625917795,0.302262412,0.136692606,0.860352205,0.002955189,0.913539154,0.073909752,0.012551094,0.363063674,0.614766537,0.022169789,0.472091461,0.329090069,0.198818471,0.509517298,0.332014137,0.158468565
,,,S6,0.983324956,0.01617759,0.000497454,0.101535306,0.052872515,0.845592179,0.842225631,0.15507016,0.002704208,0.999092304,0.000852784,5.49E-05,0.735315932,0.249580074,0.015103994,0.881595195,0.05209164,0.066313165,0.127181869,0.310175158,0.562642974,0.137768443,0.008945247,0.853286311
,,,S7,0.983324956,0.01617759,0.000497454,0.101535306,0.052872515,0.845592179,0.876335243,0.081443186,0.042221571,0.841091089,0.149944805,0.008964106,0.700299725,0.225374729,0.074325546,0.234470639,0.550434891,0.21509447,0.932504907,0.04370144,0.023793653,0.215232114,0.426171878,0.358596008
,,,S8,0.845054393,0.004363013,0.150582594,0.024239859,0.833155392,0.142604749,0.842225631,0.15507016,0.002704208,0.999092304,0.000852784,5.49E-05,0.735315932,0.249580074,0.015103994,0.881595195,0.05209164,0.066313165,0.472091461,0.329090069,0.198818471,0.509517298,0.332014137,0.158468565
,,,S9,0.845054393,0.004363013,0.150582594,0.024239859,0.833155392,0.142604749,0.842225631,0.15507016,0.002704208,0.999092304,0.000852784,5.49E-05,0.735315932,0.249580074,0.015103994,0.881595195,0.05209164,0.066313165,0.472091461,0.329090069,0.198818471,0.137768443,0.008945247,0.853286311
,,,S10,0.845054393,0.004363013,0.150582594,0.024239859,0.833155392,0.142604749,0.842225631,0.15507016,0.002704208,0.999092304,0.000852784,5.49E-05,0.735315932,0.249580074,0.015103994,0.881595195,0.05209164,0.066313165,0.127181869,0.310175158,0.562642974,0.509517298,0.332014137,0.158468565
,,,S11,0.722911595,0.261121237,0.015967168,0.02761337,0.748009919,0.224376711,0.071819793,0.625917795,0.302262412,0.136692606,0.860352205,0.002955189,0.913539154,0.073909752,0.012551094,0.363063674,0.614766537,0.022169789,0.099809938,0.658993748,0.241196314,0.135033475,0.337070379,0.527896146
,,,S12,0.790296575,0.152958219,0.056745206,0.27096006,0.183547193,0.545492748,0.600619328,0.209013094,0.190367578,0.690414602,0.076364489,0.233220909,0.071514464,0.098169528,0.830316008,0.153043475,0.103794866,0.743161659,0.975904876,0.017649252,0.006445873,0.996510926,0.003408034,8.10E-05
