NormalActuate,AlertActuate,CriticalActuate
1.781,3.87,8.045
1.725,3.888,6.533
1.743,3.47,7.734
2.107,4.033,6.528
2.19,3.25,7.63
1.712,3.499,7.097
2.742,4.209,6.28
2.73,4.085,6.696
1.928,4.647,6.559
2.382,3.453,6.664
2.829,3.492,7.108
2.977,3.414,6.573
2.143,4.031,6.288
1.757,3.855,6.656
