population,evaluations,1/x,id,MonitorCentral,MonitorPeer,MonitorCloud,AnalyzeCentral,AnalyzePeer,AnalyzeCloud,NormalPlanCentral,NormalPlanPeer,NormalPlanCloud,AlertPlanCentral,AlertPlanPeer,AlertPlanCloud,CriticalPlanCentral,CriticalPlanPeer,CriticalPlanCloud,NormalExecuteCentral,NormalExecutePeer,NormalExecuteCloud,AlertExecuteCentral,AlertExecutePeer,AlertExecuteCloud,CriticalExecuteCentral,CriticalExecutePeer,CriticalExecuteCloud,NormalActuate,AlertActuate,CriticalActuate,,
,,,S11,0.937477633,0.005221184,0.057301183,0.114240987,0.694129065,0.191629948,0.097141709,0.494534735,0.408323556,0.497751209,0.347926459,0.154322332,0.320990182,0.091017802,0.587992016,0.031491228,0.891416856,0.077091915,0.594870762,0.268063608,0.13706563,0.96459842,0.006740956,0.028660624,3.582,5.54,7.259,,40
,,,S12,0.559954687,0.241506087,0.198539226,0.691922378,0.239335938,0.068741684,0.687439724,0.184213493,0.128346782,0.447167467,0.444607577,0.108224956,0.169343882,0.027493426,0.803162692,0.699219191,0.180295597,0.120485213,0.237840389,0.685018412,0.077141199,0.675159167,0.212656761,0.112184072,3.083,5.588,7.92,,25
,,,S13,0.18780047,0.712543771,0.099655759,0.536803217,0.123766747,0.339430036,0.091640454,0.675326254,0.233033292,0.865817666,0.075940946,0.058241389,0.661499154,0.212640637,0.125860209,0.987230077,0.005784373,0.00698555,0.122154822,0.250823106,0.627022072,0.432079352,0.546096879,0.021823769,2.857,4.351,7.909,,79
,,,S14,0.290212669,0.66488294,0.04490439,0.122612754,0.718881894,0.158505351,0.327822026,0.61033357,0.061844404,0.944901971,0.044410141,0.010687888,0.383839183,0.320410813,0.295750004,0.606660417,0.287676002,0.105663581,0.099829696,0.363314939,0.536855365,0.94832228,0.006540931,0.045136789,2.798,4.806,8.029,,23
,,,S15,0.983067039,0.00075477,0.016178191,0.484460494,0.041324621,0.474214885,0.353405662,0.485846178,0.16074816,0.770157588,0.18710206,0.042740351,0.587054102,0.09502499,0.317920908,0.814159275,0.051079765,0.13476096,0.031590266,0.406802578,0.561607155,0.58137282,0.125628739,0.29299844,2.5,4.26,8.288,,43
180,360,4,S1,0.963422346,0.008359324,0.02821833,0.874935256,0.028064112,0.097000631,0.191391975,0.403243364,0.405364661,0.323525528,0.18288697,0.493587503,0.095975292,0.239771647,0.664253061,0.853714651,0.142659555,0.003625794,0.566711842,0.421797856,0.011490302,0.879909088,0.067427496,0.052663415,3.783,5.324,7.309,,24
,,,S2,0.755971883,0.166331408,0.077696709,0.18407145,0.802390852,0.013537698,0.597487529,0.042674775,0.359837696,0.838014238,0.013243768,0.148741994,0.410416407,0.587796911,0.001786682,0.391071703,0.520311164,0.088617133,0.138261584,0.401423854,0.460314562,0.848326486,0.149367059,0.002306455,2.928,4.481,7.841,,89
,,,S3,0.817498128,0.153346898,0.029154973,0.262650007,0.182478743,0.55487125,0.619452304,0.154790798,0.225756899,0.414277152,0.185829788,0.39989306,0.389699074,0.320405833,0.289895093,0.994886894,0.003902802,0.001210304,0.037930484,0.555368311,0.406701204,0.420355327,0.308999939,0.270644733,2.939,4.265,8.082,,29
,,,S4,0.857062363,0.083200711,0.059736926,0.884665303,0.09476222,0.020572477,0.722235762,0.229173406,0.048590833,0.887788169,0.081839454,0.030372378,0.378921649,0.31971757,0.30136078,0.821270218,0.105881426,0.072848356,0.035723082,0.314476773,0.649800145,0.667777817,0.317829797,0.014392386,2.298,4.496,8.057,,115
,,,S5,0.931117899,0.056263488,0.012618613,0.690525332,0.148029844,0.161444825,0.490412296,0.038153873,0.471433831,0.893910606,0.037832276,0.068257118,0.20204429,0.487197549,0.310758161,0.751289479,0.172421782,0.076288739,0.301480593,0.689424201,0.009095206,0.761476161,0.021623817,0.216900023,2.697,4.901,7.775,,22
,,,S6,0.931117899,0.056263488,0.012618613,0.690525332,0.148029844,0.161444825,0.490412296,0.038153873,0.471433831,0.893910606,0.037832276,0.068257118,0.20204429,0.487197549,0.310758161,0.751289479,0.172421782,0.076288739,0.301480593,0.689424201,0.009095206,0.969958208,0.022867621,0.007174172,2.682,4.902,7.681,,15
