NormalActuate,AlertActuate,CriticalActuate
0.535,2.468,5.953
0.72,2.05,5.502
0.926,2.29,5.271
0.639,2.161,5.319
0.593,2.033,5.369
0.724,2.22,5.34
0.606,2.556,5.227
0.549,2.256,5.314
1.009,2.471,5.145
1.034,2.192,5.576
0.868,2.353,5.491
0.655,2.354,5.966
0.705,2.174,5.701
1.069,2.258,5.323
0.728,2.428,5.465
0.752,2.208,6.013
0.721,2.49,5.518
0.885,2.409,5.37
1.498,2.349,5.272
0.693,2.538,5.886
1.04,3.004,6.054
1.465,2.234,5.484
0.891,2.084,5.958
0.866,2.311,5.494
0.906,2.223,5.354
1.215,2.037,5.874
0.679,2.729,5.603
1.602,2.214,5.384
0.727,2.443,5.266
0.593,2.479,5.564
0.677,2.741,5.234
1.559,2.3,5.183
0.905,2.265,5.478
0.623,2.697,5.774
0.897,2.082,5.946
0.665,2.928,5.287
0.872,2.362,5.151
0.749,2.352,5.358
0.649,2.326,5.714
0.887,2.216,5.605
0.743,2.477,5.249
0.801,2.125,6.466
0.585,2.442,5.345
1.865,2.648,5.077
1.373,2.109,5.264
0.819,2.507,5.324
0.681,2.145,5.673
0.646,2.279,6.485
0.802,2.773,5.157
1.428,2.289,5.236
1.875,2.07,5.105
0.824,2.368,5.329
0.808,2.28,5.364
0.841,2.222,5.465
1.206,2.306,5.316
0.853,2.134,5.771
